index,推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
208,192.160.10.2,刑法,王兴,法学,无,,,
209,爱吃烤面包的公祖思博,Solidworks高级动画教程,暴怒号,机械工程,B站,https://b23.tv/JlY3TH1,一学就会,
210,还没午睡,韩语发音教学,韩语养乐多老师,韩语,B站,BV1NW411h7U3,养乐多老师讲得很有耐心，而且感觉是比较标准的，教学经验丰富，冲！,
211,风一样的男人,【VRay5.0教程】VRay for 3dmax渲染全套入门教程,KK老师,环艺-室内,B站,https://www.bilibili.com/video/BV16D4y1X7eW,敲实用的VRay5入门必备教程,
212,3Dmax资源库,3dmax入门到精通教程【全集】,陈莫老师,效果图表现、室内设计,B站,BV1AT4y1K7JH,学3dmax小伙伴必须要看一看的教程，幽默风趣的教学风格，简单易懂的讲解，很容易就能上手，强烈案例,
213,无名52ka,《艺考速写》,薛牧之,速写,B站,https://space.bilibili.com/49868383/video,生动有趣，绘画功底深厚,2022-01-21 21:53:38
214,流浪中的路人,高中数学,滴答课堂,高中数学,b站,https://www.bilibili.com/video/BV1nt41197uJ?p=38&spm_id_from=pageDriver,高中数学基础不好的同学可以去补修一下昂,2022-01-28 11:32:35
215,额,高考英语,Free高考英语,语言,B站,,,2022-01-31 09:49:19
216,jajijol,K线,恐龙,财经,无,B站,,2022-02-02 09:30:39
217,什么ID,光伏 安装,无,光伏 安装 太阳能,无,,光伏建筑 安装 太阳能,2022-02-03 20:13:52
218,Walker,一建 二建 广联达 bim 等教程,陈印,建筑,学天网校,,工程类特别需要这个,2022-02-05 13:09:54
219,mc绫波丽,影子跟读练口语,羊歪楼,英语口语,B站,https://space.bilibili.com/313773387?spm_id_from=333.788.b_765f7570696e666f.1,逐句跟读，更好的锻炼自己的口语，我觉得挺实用的哈,2022-02-07 16:55:02
220,611不见阳光,李涛Photoshop高手之路基础篇,李涛,平面设计,良知塾官网,https://www.liangzhishu.com/course/9?special=undefined,"深入浅出，通俗易懂。李涛用通俗的语言从最底层讲明了光，色的关系。标题是ps但远远不止软件。适合一窍不通的小白。
tips：1.16年前的视频，画质略渣，但收音不错，李涛本人口齿也清楚不影响观看。2. 里面关于软件有几处错误，但大致不影响。",2022-02-08 14:54:59
221,茶觉QYQ,《变态心理学》北京大学,BLGX,心理学,B站,【变态心理学 北京大学-哔哩哔哩】 https://b23.tv/C7wcgfP,"北京大学主教材：钱铭怡. 变态心理学[M]. 北京: 北京大学出版社, 2006. ISBN: 9787301106419
课件在这里：http://course.ys168.com/",2022-02-10 14:39:36
222,吃一口灵魂饭,《各种设计免费网站》,https://www.51zxw.net/study.asp?vip=22199361,设计网站学习,https://www.51zxw.net/study.asp?vip=22199361,https://www.51zxw.net/study.asp?vip=22199361,免费学习的网站，特别好！,2022-02-13 21:31:39
