index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
117,Arinor,哲学,[B站](https://space.bilibili.com/88784),CNtei,是做哲学普及视频的正在怠惰地学画画以及论文发不出去的小说写手~o(*￣▽￣*)ブ,2021-12-15 21:20:17
118,思想史万有引力,哲学,[其他](https://www.douyin.com/user/MS4wLjABAAAAlpQnZ6TtSPrGf26dfMLgFB8XMbcOGE69ZLtGwfZOghQ),15083426321,不正经漫谈西方思想史，很有料,2021-12-23 19:07:38
119,未明子,哲学,[B站](https://space.bilibili.com/23191782),一碗甜桂羮,适合哲学入门，一个坚定的Marxist,2021-05-15 00:00:00
120,赤色幽灵指南,哲学,[B站](https://space.bilibili.com/56730666),蕀蒬,对于哲学有深刻的思想理解，无论是新人还是有一定基础的人都能受益匪浅, 
121,汤质看本质,哲学，哲学史,[B站](https://space.bilibili.com/362588980),萌萌哒的酸奶片,简要介绍哲学是什么，为了什么，为什么要学哲学。还有一大堆哲学科普教你适应这个世界.,2020-02-08 00:00:00
122,学习使我快乐到无与伦比（不重要）,哲学，生死,[B站](https://www.bilibili.com/video/BV1P7411C7Gz),纯情的小火鸡,耶鲁大学的老师，视频看起来古老一些，对于究竟何为死亡，灵魂与肉体，等这一类问题将在本视频里得到很好的解答。,2021-02-08 00:00:00
123,冲浪普拉斯,商业历史,[B站](https://space.bilibili.com/290548469),OFPC2Y,中国商业历史，听听耳熟能详的品牌与商业大佬们的故事。不看不知道，商界故事可能比电视剧还狗血！,2021-06-16 00:00:00
124,吸奇侠,四大名著,B站,小斯,《水浒传》看法独特,2021-06-12 00:00:00
125,PlutoRsy,国漫混剪剪辑,B站,UID:316426019,分享幸运，分享快乐，自由剪刀手,2021-12-17 09:28:22
126,沈逸老师,国际关系，网络空间安全治理,[B站](https://space.bilibili.com/648113003),于阳阳阳阳,真的强烈推荐，干货多且有长难句,2021-12-15 19:50:31
127,我们这颗星球OurPlanet,地理/人文/历史,[B站](https://space.bilibili.com/1705324032),光脉之酒,从环太平洋开始的环球之旅，见证最早的航海家将海洋文明的种子散布到整个太平洋的故事。,2021-12-17 20:23:53
128,中国国家地理,地理/动植物,[B站](https://space.bilibili.com/2000819931),CNtei,让“想当科学家”重新变成大家的梦想，《中国国家地理》杂志社官方账号,2021-12-15 21:10:23
129,天哥地说,地质,[B站](https://space.bilibili.com/293589102),西风塞马, , 
130,Jason-老湿,声乐,B站,朱朱,很沙雕的教声乐 有趣还挺有用, 
131,物理系的允文君,大学物理，数学,[B站](https://space.bilibili.com/52663683),love小小伤,这个课程特别建议听过一遍老师的讲课，但又感觉迷迷糊糊的学生。允文君是一个非常厉害的大佬，因为同为学生，所以很多老师没有讲的细节，在他那里会讲的很清楚。特别是对于考研的同学来说，很难找到这种对于大学物理知识系统的梳理，希望大家能关注一下这个宝藏up主,2021-02-08 00:00:00
