index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
742,《机器学习》,吴恩达,计算机,[网易公开课](https://study.163.com/course/introduction.htm?courseId=1210076550&_trace_c_p_k2_=e5f1fd232b5e405db92f79f55c1f4785),江破空,计算机软件与理论,超详细的讲解,2021-12-25 11:09:27
743,《程序设计入门-C语言》,翁恺,计算机,MOOC,万湿之海,软件工程,,2021-02-07 00:00:00
744,《编译原理（Compilers）》,Alex Aiken,计算机,[B站](https://www.bilibili.com/video/BV1cE411f78c),MagHSK,计算机科学,CS-143,2021-03-02 00:00:00
745,《计算机》,pick黑马程序员,计算机,B站,独行飞猪,软件工程,前段入门超级适合，老师讲课诙谐幽默,2021-01-16 00:00:00
746,《计算机科学速成课》,CrashCourse,计算机,[B站](https://www.bilibili.com/video/BV1fZ4y1F7Vt),罹离,软件工程,非常适合作为入门科普，一集12分钟左右，强推！！, 
747,《计算机网络微课堂》,湖科大教书匠,计算机,[B站](https://www.bilibili.com/video/BV1c4411d7jb),Yomi,通信工程,讲解十分详细，配合ppt演示更好理解,2021-12-19 16:07:35
748,《（1）Java核心技术》,陈良育,计算机,中国大学MOOC,CoderZhao_,软件工程,真正在做教育的老师，和培训机构完全不同，引导式的教学。Java核心编程适合零基础，进阶高阶课程需要一定的基础。不仅适合在校学生，也适合有1-2年工作经验的Java程序员。强力推荐！！！,2021-12-17 19:11:35
749,中科大郑烇、杨坚全套《计算机网络（自顶向下方法 第7版，James F.Kurose，Keith W.Ross）》课程,中科大-郑烇老师,计算机,[无](https://www.bilibili.com/video/BV1JV411t7ow),凯琳,无机非金属材料工程,深入浅出，老师讲课很有趣，旁征博引不会觉得无聊, 
750,《机器学习》,人工智能奈奈,计算机/机器学习,B站,拉普拉斯不辣,电子信息,,2022-04-10 10:32:39
751,《C语言程序设计》,翁恺,计算机/编程,[B站](https://www.bilibili.com/video/BV19W411B7w1),十二月之夏,软件工程,真的是非常好的编程语言入门课，翁恺老师的讲述有趣不枯燥，对于初学编程十分友好。,2021-12-21 19:12:01
752,《Python零基础入门动画课》,大熊课堂,计算机/编程,B站,青鹿,信息安全,跟着动画轻松学Python！, 
753,《计算机网络，自顶向下方法》配套课程，作者亲授,Jim Kurose（原书作者）,计算机/软件工程/网络,[B站](https://www.bilibili.com/video/BV1mb4y1d7K7),近卫堇,物理,讲解深入浅出、由表及里、示例丰富、语言生动。还有中英双字，可以顺便学习计算机网络领域的英语，这很重要。英语字幕很准确，对英语阅读水平好的人难度不大；中文有一些机翻痕迹，英语水平不够的人有点需要硬啃。,2022-03-17 15:17:34
754,《算法基础课》,yxc,计算机与科学,[B站](https://www.acwing.com/activity/content/11/),xiaocaibi,略,yxc是前noi金牌选手，算法课程质量搞, 
755,《编程》,罗霞,计算机专业,无,15,计算机专业,,2022-03-15 19:27:09
